ELS_ID,
009-T1,9
013-T1,13
014-T1,14
024-T1,24
025-T1,25
026-T1,26
028-T1,28
032-T1,32
033-T1,33
034-T1,34
039-T1,39
040-T1,40
041-T1,41
042-T1,42
047-T1,47
049-T1,49
054-T1,54
059-T1,59
060-T1,60
062-T1,62
064-T1,64
065-T1,65
068-T1,68
072-T1,72
074-T1,74
075-T1,75
077-T1,77
079-T1,79
081-T1,81
083-T1,83
085-T1,85
087-T1,87
088-T1,88
090-T1,90
093-T1,93
095-T1,95
097-T1,97
103-T1,103
106-T1,106
107-T1,107
111-T1,111
112-T1,112
113-T1,113
114-T1,114
115-T1,115
117-T1,117
121-T1,121
124-T1,124
125-T1,125
127-T1,127
132-T1,132
136-T1,136
137-Tmid,137-Tmid
139-T1,139
140-T1,140
144-Tmid,144-Tmid
145-Tmid,145-Tmid
147-T1,147
148-T1,148
149-T1,149
151-T1,151
152-Tmid,152-Tmid
154-T1,154
155-T1,155
156-T1,156
157-T1,157
162-T1,162
164-T1,164
165-T1,165
171-T1,171
172-Tmid,172-Tmid
173-T1,173
174-T1,174
179-T1,179
180-T1,180
183-T1,183
185-T1,185
188-T1,188
189-T1,189
202-T1,202
203-T1,203
210-T1,210
214-Tmid,214-Tmid
215-T1,215
302-TK1,302-TK1
303-TK1,303-TK1
305-TK1,305-TK1
307-TK1,307-TK1
311-TK1,311-TK1
312-TK1,312-TK1
318-TK1,318-TK1
